.png,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,52
cname,阿伦・艾弗森,阿马雷・斯塔德迈尔,安德烈・伊戈达拉,保罗・皮尔斯,保罗・乔治,本・西蒙斯,布雷克・格里芬,昌西・比卢普斯,德怀恩・韦德,德怀特・霍华德,德克・诺维茨基,德里克・罗斯,德隆・威廉姆斯,德马库斯・考辛斯,德玛尔・德罗赞,蒂姆・邓肯,多诺万・米切尔,戈登・海沃德,戈兰・德拉季奇,格兰特・希尔,贾森・基德,贾森・特里,杰森・塔图姆,卡尔-安东尼・唐斯,卡梅隆・安东尼,凯里・欧文,凯文・杜兰特,凯文・加内特,凯文・乐福,科比・布莱恩特,科怀・伦纳德,克莱・汤普森,克里斯・保罗,克里斯・波什,拉简・朗多,拉马库斯・阿尔德里奇,拉塞尔・威斯布鲁克,勒布朗・詹姆斯,雷・阿伦,林书豪,马努・吉诺比利,乔尔・恩比德,赛尔吉・伊巴卡,沙奎尔・奥尼尔,史蒂夫・纳什,斯蒂芬・库里,特雷西・麦克格雷迪,托尼・帕克,姚明,约什・史密斯,扎克・兰多夫,詹姆斯・哈登,周琦
color,0xFF7B2E,0xE6302D,0x5D9CC8,0xEDB336,0xFB3434,0x20A27E,0xE3007E,0xE3007E,0xF40009,0xFF0077,0x00FF70,0xB91820,0xF8285C,0xF8D324,0x1BCB95,0xF48A34,0x0081D7,0xC6E16C,0xDB4630,0xF84CBA,0xE53836,0xFF5959,0xFCD209,0xF08300,0xA4C639,0xF63E3F,0x327ED3,0x803EDE,0x285C9B,0x2672EC,0x75ACE5,0xE1551C,0x5A9A0D,0xF04FF7,0x746979,0x0891BD,0x01B0FF,0xE8390D,0x7BA843,0xF07530,0xDF574E,0x4297CF,0x75ACE5,0xE1551C,0x5A9A0D,0xF04FF7,0x746979,0x0891BD,0x01B0FF,0xE8390D,0x7BA843,0xF07530,0xDF574E
2014年10月,0,0,0,0,0,0,0,0,6488,13696,0,0,0,0,0,7417,0,0,0,0,0,0,0,0,6145,0,9129,0,0,47835,0,0,0,0,0,0,0,16289,0,13272,0,0,0,0,22694,0,0,0,0,0,0,5584,0
2014年11月,0,0,0,0,0,0,0,0,7115,7085,0,0,0,0,0,6601,0,0,0,0,0,0,0,0,6087,0,9719,0,0,45102,0,5754,0,0,0,0,0,17309,0,13965,0,0,0,0,0,9393,0,0,0,0,0,0,0
2014年12月,0,0,0,0,0,0,0,0,12670,6741,0,0,0,0,0,9931,0,0,0,0,0,0,0,0,0,0,20330,0,0,78919,0,0,0,0,20398,0,0,17497,0,9995,0,0,0,0,0,0,0,0,0,50777,0,10300,0
2015年1月,0,0,0,0,0,0,0,0,9271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13008,11751,14069,0,30316,0,25419,0,0,0,0,0,16106,0,9704,0,0,0,0,0,10556,0,0,0,0,0,9238,0
2015年2月,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5854,0,0,0,0,0,0,0,0,0,0,10178,18235,0,22589,0,0,0,0,0,0,11997,16859,7018,12803,0,0,0,0,0,34381,0,0,0,0,0,9738,0
2015年3月,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19984,10304,8845,0,22014,0,0,0,0,0,0,7589,12934,0,14021,0,0,0,0,87276,15895,0,0,0,0,0,10602,0
2015年4月,0,0,0,0,16139,0,0,0,6811,9987,0,0,0,0,0,15942,0,0,0,0,0,0,0,0,0,0,7097,0,0,19542,0,0,0,0,0,0,0,12691,0,0,0,0,0,0,0,25573,0,7604,0,0,0,15597,0
2015年5月,0,0,0,0,0,0,0,0,12939,12355,0,0,0,0,0,36827,0,0,0,0,0,0,0,0,0,10004,0,0,0,27014,0,0,36507,0,0,0,0,41986,0,0,0,0,0,0,0,74971,0,0,0,11489,0,24880,0
2015年6月,0,0,103367,0,0,0,0,0,14768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27467,11018,0,0,38095,0,9060,0,0,0,0,0,129541,0,7770,0,0,0,0,0,163614,0,0,0,0,0,13485,0
2015年7月,0,0,0,0,0,0,0,0,14816,0,0,0,0,0,0,9175,0,0,0,0,0,0,0,0,0,5428,8104,5933,0,23197,0,0,0,0,0,48135,0,14285,0,25331,0,0,0,0,0,15931,0,0,0,0,0,0,0
